step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,18,0.0,1.781334016,4.780916736,16.37685248,0.014258176,0.0
2,18,0.0,1.781334016,4.77999104,16.376070144,0.018251776,0.0
3,11,0.0,1.781334016,4.780343296,16.375037952,0.022216704,0.0
4,11,0.0,1.781334016,4.780613632,16.374976512,0.026144768,0.0
5,71,0.0,1.781334016,4.779421696,16.375492608,0.030121984,0.0
6,71,0.0,1.781334016,4.77956096,16.375750656,0.03403776,0.0
7,71,0.0,1.781334016,4.779462656,16.37523456,0.037961728,0.0
8,76,0.0,1.781334016,4.779925504,16.374976512,0.041857024,0.0
9,76,0.0,1.781334016,4.78007296,16.374976512,0.045797376,0.0
10,76,0.0,1.781334016,4.78038016,16.374607872,0.04970496,0.0
11,71,0.0,1.781334016,4.780228608,16.374607872,0.053608448,0.0
12,71,0.0,1.781334016,4.779667456,16.374546432,0.05750784,0.0
13,71,3169.4,1.781334016,4.77923328,16.374546432,0.06141952,0.0
14,69,0.0,1.781334016,4.77906944,16.374546432,0.065368064,0.0
15,69,0.0,1.781334016,4.779728896,16.374546432,0.069246976,0.0
16,72,0.0,1.781334016,4.779388928,16.374546432,0.073166848,0.0
17,72,0.0,1.781334016,4.778364928,16.375001088,0.07708672,0.0
18,72,0.0,1.781334016,4.778196992,16.374194176,0.080990208,0.0
19,78,0.0,1.781334016,4.778102784,16.374194176,0.084897792,0.0
20,78,0.0,1.781334016,4.778840064,16.37367808,0.088838144,0.0
21,78,0.0,1.781334016,4.777877504,16.37367808,0.09271296,0.0
22,70,0.0,1.781334016,4.779085824,16.373936128,0.096600064,0.0
23,70,0.0,1.781334016,4.777979904,16.373936128,0.100507648,0.0
24,70,0.0,1.781334016,4.77878272,16.37367808,0.104402944,0.0
25,72,0.0,1.781334016,4.778672128,16.373936128,0.108335104,0.0
26,72,0.0,1.781334016,4.77724672,16.373936128,0.112238592,0.0
27,72,0.0,1.781334016,4.777119744,16.373936128,0.116129792,0.0
28,71,0.0,1.781334016,4.778123264,16.373936128,0.120057856,0.0
29,71,0.0,1.781334016,4.77759488,16.373936128,0.123981824,0.0
30,74,0.0,1.781334016,4.777484288,16.373936128,0.127922176,0.0
31,74,0.0,1.781334016,4.777586688,16.373420032,0.131801088,0.0
32,74,0.0,1.781334016,4.777279488,16.373522432,0.135651328,0.0
33,76,0.0,1.781334016,4.777930752,16.373522432,0.139546624,0.0
34,76,0.0,1.781334016,4.777050112,16.373522432,0.143474688,0.0
35,76,0.0,1.781334016,4.777009152,16.373264384,0.147382272,0.0
36,70,0.0,1.781334016,4.777750528,16.373264384,0.151293952,0.0
37,70,0.0,1.781334016,4.77800448,16.373264384,0.155172864,0.0
38,70,0.0,1.781334016,4.776677376,16.373264384,0.159084544,0.0
39,71,0.0,1.781334016,4.776767488,16.373264384,0.16297984,0.0
40,71,0.0,1.781334016,4.77667328,16.37216256,0.166912,0.0
41,71,0.0,1.781334016,4.776845312,16.37216256,0.170799104,0.0
42,71,0.0,1.781334016,4.777197568,16.37216256,0.174682112,0.0
43,71,0.0,1.781334016,4.777365504,16.371871744,0.178630656,0.0
44,77,0.0,1.781334016,4.777066496,16.372129792,0.182550528,0.0
45,77,0.0,1.781334016,4.775542784,16.37238784,0.186486784,0.0
46,77,0.0,1.781334016,4.775862272,16.372129792,0.190377984,0.0
