step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,7,0.0,1.634533376,4.754587648,16.376123392,0.013139968,0.0
1,backward,7,93.4,1.745682432,4.774350848,16.376393728,0.0137216,0.0
1,optimizer,18,93.9,1.781334016,4.780916736,16.37685248,0.014249984,0.0
2,forward,18,158.3,1.781334016,4.77999104,16.376070144,0.01820672,0.0
2,backward,18,105.3,1.781334016,4.77999104,16.376070144,0.01820672,0.0
2,optimizer,18,0.0,1.781334016,4.77999104,16.376070144,0.018223104,0.0
3,forward,11,229.2,1.781334016,4.780343296,16.375037952,0.022204416,0.0
3,backward,11,104.9,1.781334016,4.780343296,16.375037952,0.022204416,0.0
3,optimizer,11,0.0,1.781334016,4.780343296,16.375037952,0.022216704,0.0
4,forward,11,207.5,1.781334016,4.780613632,16.375037952,0.026140672,0.0
4,backward,11,79.4,1.781334016,4.780613632,16.374976512,0.026140672,0.0
4,optimizer,11,501.9,1.781334016,4.780613632,16.374976512,0.026144768,0.0
5,forward,11,149.2,1.781334016,4.779421696,16.375492608,0.030117888,0.0
5,backward,71,109.1,1.781334016,4.779421696,16.375492608,0.030117888,0.0
5,optimizer,71,0.0,1.781334016,4.779421696,16.375492608,0.030121984,0.0
6,forward,71,188.5,1.781334016,4.77956096,16.375492608,0.034025472,0.0
6,backward,71,106.0,1.781334016,4.77956096,16.375750656,0.034025472,0.0
6,optimizer,71,0.0,1.781334016,4.77956096,16.375750656,0.03403776,0.0
7,forward,71,207.6,1.781334016,4.779462656,16.37523456,0.037961728,0.0
7,backward,71,106.6,1.781334016,4.779462656,16.37523456,0.037961728,0.0
7,optimizer,71,0.0,1.781334016,4.779462656,16.37523456,0.037961728,0.0
8,forward,71,215.8,1.781334016,4.779925504,16.37523456,0.041857024,0.0
8,backward,76,82.0,1.781334016,4.779925504,16.374976512,0.041857024,0.0
8,optimizer,76,0.0,1.781334016,4.779925504,16.374976512,0.041857024,0.0
9,forward,76,184.8,1.781334016,4.78007296,16.374976512,0.045797376,0.0
9,backward,76,106.8,1.781334016,4.78007296,16.374976512,0.045797376,0.0
9,optimizer,76,0.0,1.781334016,4.78007296,16.374976512,0.045797376,0.0
10,forward,76,220.2,1.781334016,4.78038016,16.374976512,0.049676288,0.0
10,backward,76,82.6,1.781334016,4.78038016,16.374607872,0.049676288,0.0
10,optimizer,76,0.0,1.781334016,4.78038016,16.374607872,0.04970496,0.0
11,forward,71,214.6,1.781334016,4.780228608,16.374607872,0.053608448,0.0
11,backward,71,80.1,1.781334016,4.780228608,16.374607872,0.053608448,0.0
11,optimizer,71,543.7,1.781334016,4.780228608,16.374607872,0.053608448,0.0
12,forward,71,154.0,1.781334016,4.779667456,16.374349824,0.05750784,0.0
12,backward,71,108.9,1.781334016,4.779667456,16.374546432,0.05750784,0.0
12,optimizer,71,0.0,1.781334016,4.779667456,16.374546432,0.05750784,0.0
13,forward,71,195.2,1.781334016,4.77923328,16.374546432,0.061415424,0.0
13,backward,71,110.4,1.781334016,4.77923328,16.374546432,0.061415424,0.0
13,optimizer,71,0.0,1.781334016,4.77923328,16.374546432,0.06141952,0.0
14,forward,69,142.5,1.781334016,4.77906944,16.374546432,0.065368064,0.0
14,backward,69,107.1,1.781334016,4.77906944,16.374546432,0.065368064,0.0
