task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-02-21T23:33:08,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.8287880551069975,3.8094330904081334e-07,4.582332807355123e-07,360.0,48.84226774175174,10.0,8.315864391624928e-05,1.128250902482364e-05,2.3099163598898384e-06,9.675106930096275e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #2,2026-02-21T23:33:08,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.042139687575399876,1.725919899901796e-08,4.073641196240804e-07,360.0,0.0,10.0,4.265023488551382e-06,0.0,1.1842653879688851e-07,4.383450027348274e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #3,2026-02-21T23:33:08,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04738947004079819,1.9099865129795986e-08,4.009254534536605e-07,360.0,0.0,10.0,4.7198787331581175e-06,0.0,1.310592698347237e-07,4.850938002992847e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #4,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04536986816674471,1.8594088769006723e-08,4.082198599043678e-07,360.0,0.0,10.0,4.594893753528601e-06,0.0,1.2758838064554672e-07,4.722482134174151e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #5,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.046381973661482334,1.976599747672635e-08,4.2430027365631595e-07,360.0,0.0,10.0,4.884490277618175e-06,0.0,1.3563042351355137e-07,5.020120701131723e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #6,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04162250831723213,2.5523781064617216e-08,6.09837521284855e-07,360.0,125.17078814912857,10.0,4.712709598243234e-06,1.638890203992105e-06,1.308689851106868e-07,6.482468787346015e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #7,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04976570699363947,2.7116347043567064e-08,5.415645957055273e-07,360.0,123.1695738749044,10.0,5.027073435485358e-06,1.7202791546822027e-06,1.3959229044202297e-07,6.886944880609601e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #8,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.0422776285558939,2.293148904986918e-08,5.393293828313255e-07,360.0,121.31605813901099,10.0,4.267263505607842e-06,1.4383344826285338e-06,1.1848668153915138e-07,5.824084669775535e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #9,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04261960368603468,1.7371609899669655e-08,4.06067190147983e-07,360.0,0.0,10.0,4.2928039096295855e-06,0.0,1.1919596905095723e-07,4.411999878680539e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #10,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.044515893794596195,1.9383228099734863e-08,4.3294973729530535e-07,360.0,0.0,10.0,4.789896775037039e-06,0.0,1.330090764289101e-07,4.922905851465945e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
