task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.444970790296793,2.0431993628969225e-07,4.596922612062188e-07,360.0,46.160583308768764,10.0,4.488955335691571e-05,5.757504602854624e-06,1.2456301289300123e-06,5.189268808870035e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #1,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.20396820828318596,9.396342943498501e-08,4.61463250970121e-07,360.0,57.393339709242156,10.0,2.0101382955908774e-05,3.205002567341353e-06,5.582212496341932e-07,2.3864606772884318e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #1,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.16751342173665762,7.675005283117085e-08,4.5825974756063365e-07,360.0,49.98158570818985,10.0,1.670878240838647e-05,2.3200018546276624e-06,4.640103447147543e-07,1.949279460772888e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #2,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.012544487603008747,4.148293126160577e-09,3.3238707136585305e-07,360.0,0.0,10.0,1.025187131017453e-06,0.0,2.8386422329478977e-08,1.0535735533469384e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #2,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.021322146989405155,8.515374508939562e-09,4.0196579531660936e-07,360.0,0.0,10.0,2.104336302727466e-06,0.0,5.8378121401700595e-08,2.16271442412916e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #2,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0027977852150797844,1.0982835704188752e-09,3.9803230712839275e-07,360.0,0.0,10.0,2.714512869715624e-07,0.0,7.488143940766682e-09,2.7893943091233334e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #3,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.010386734269559383,5.916083990054164e-09,5.531407890601444e-07,360.0,0.0,10.0,1.4620300382375704e-06,0.0,4.052280500117262e-08,1.5025528432387447e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #3,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.020959531888365746,8.355033027613312e-09,4.0062705973985975e-07,360.0,0.0,10.0,2.064718678593632e-06,0.0,5.727260011351765e-08,2.1219912787071515e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #3,2026-02-21T23:33:08,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0056586191058158875,1.219610369002937e-09,2.1619545257572584e-07,360.0,0.0,10.0,3.014258109033111e-07,0.0,8.327909745275816e-09,3.0975372064858395e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #4,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.010706208646297455,4.299599981939283e-09,4.0244830068611737e-07,360.0,0.0,10.0,1.0625698603689736e-06,0.0,2.9432245840629018e-08,1.092002106209598e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #4,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.021152524277567863,1.0406090930021903e-08,4.933446466939428e-07,360.0,0.0,10.0,2.571557648479937e-06,0.0,7.135640415880396e-08,2.642914052638747e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #4,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0029275575652718544,1.1777785537512843e-09,4.007023031351963e-07,360.0,0.0,10.0,2.910926938056894e-07,0.0,8.036682589186423e-09,2.991293763948699e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #5,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.01483563520014286,4.301220925576973e-09,2.9073904652012715e-07,360.0,0.0,10.0,1.0629647411406097e-06,0.0,2.9449048452079407e-08,1.0924137895926874e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
